ID,WF,Time,NWP1_00h_D-2_U,NWP1_00h_D-2_V,NWP1_00h_D-2_T,NWP1_06h_D-2_U,NWP1_06h_D-2_V,NWP1_06h_D-2_T,NWP1_12h_D-2_U,NWP1_12h_D-2_V,NWP1_12h_D-2_T,NWP1_18h_D-2_U,NWP1_18h_D-2_V,NWP1_18h_D-2_T,NWP1_00h_D-1_U,NWP1_00h_D-1_V,NWP1_00h_D-1_T,NWP1_06h_D-1_U,NWP1_06h_D-1_V,NWP1_06h_D-1_T,NWP1_12h_D-1_U,NWP1_12h_D-1_V,NWP1_12h_D-1_T,NWP1_18h_D-1_U,NWP1_18h_D-1_V,NWP1_18h_D-1_T,NWP1_00h_D_U,NWP1_00h_D_V,NWP1_00h_D_T,NWP1_06h_D_U,NWP1_06h_D_V,NWP1_06h_D_T,NWP1_12h_D_U,NWP1_12h_D_V,NWP1_12h_D_T,NWP1_18h_D_U,NWP1_18h_D_V,NWP1_18h_D_T,NWP2_00h_D-2_U,NWP2_00h_D-2_V,NWP2_12h_D-2_U,NWP2_12h_D-2_V,NWP2_00h_D-1_U,NWP2_00h_D-1_V,NWP2_12h_D-1_U,NWP2_12h_D-1_V,NWP2_00h_D_U,NWP2_00h_D_V,NWP2_12h_D_U,NWP2_12h_D_V,NWP3_00h_D-2_U,NWP3_00h_D-2_V,NWP3_00h_D-2_T,NWP3_06h_D-2_U,NWP3_06h_D-2_V,NWP3_06h_D-2_T,NWP3_12h_D-2_U,NWP3_12h_D-2_V,NWP3_12h_D-2_T,NWP3_18h_D-2_U,NWP3_18h_D-2_V,NWP3_18h_D-2_T,NWP3_00h_D-1_U,NWP3_00h_D-1_V,NWP3_00h_D-1_T,NWP3_06h_D-1_U,NWP3_06h_D-1_V,NWP3_06h_D-1_T,NWP3_12h_D-1_U,NWP3_12h_D-1_V,NWP3_12h_D-1_T,NWP3_18h_D-1_U,NWP3_18h_D-1_V,NWP3_18h_D-1_T,NWP3_00h_D_U,NWP3_00h_D_V,NWP3_00h_D_T,NWP3_06h_D_U,NWP3_06h_D_V,NWP3_06h_D_T,NWP3_12h_D_U,NWP3_12h_D_V,NWP3_12h_D_T,NWP3_18h_D_U,NWP3_18h_D_V,NWP3_18h_D_T,NWP4_00h_D-2_U,NWP4_00h_D-2_V,NWP4_00h_D-2_CLCT,NWP4_12h_D-2_U,NWP4_12h_D-2_V,NWP4_12h_D-2_CLCT,NWP4_00h_D-1_U,NWP4_00h_D-1_V,NWP4_00h_D-1_CLCT,NWP4_12h_D-1_U,NWP4_12h_D-1_V,NWP4_12h_D-1_CLCT,NWP4_00h_D_U,NWP4_00h_D_V,NWP4_00h_D_CLCT,NWP4_12h_D_U,NWP4_12h_D_V,NWP4_12h_D_CLCT,NWP1_U,NWP1_V,NWP1_T,NWP2_U,NWP2_V,NWP3_U,NWP3_V,NWP3_T,NWP4_U,NWP4_V,NWP4_CLCT
11,WF1,2018-05-01 11:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1.91,-4.664,288.2,3.227,-1.937,287.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.244,-2.02,96.56,,,,3.2265625,-1.9365234375,287.75,,,,,,2.244140625,-2.01953125,96.5625
12,WF1,2018-05-01 12:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1.951,-4.453,289.2,3.895,-2.24,288.0,3.57,-2.795,288.0,,,,,,,,,,,,0.597,-2.656,3.322,-3.441,2.67,-2.396,290.0,2.959,-1.291,289.0,3.361,-0.2827,289.0,4.105,-4.1,289.0,2.363,-0.2427,290.0,2.889,-0.3848,289.0,1.623,-0.03091,288.2,2.758,-0.3733,288.0,2.084,-0.878,289.0,1.779,-3.16,288.0,2.035,-4.164,287.0,,,,,,,,,,,,,,,,1.909,-2.986,99.9,0.883,-3.795,97.56,3.5703125,-2.794921875,288.0,3.322265625,-3.44140625,2.03515625,-4.1640625,287.0,0.8828125,-3.794921875,97.5625
13,WF1,2018-05-01 13:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1.106,-5.957,289.0,3.256,-4.555,288.0,2.174,-3.906,288.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.05,-2.662,100.0,1.235,-3.404,100.0,2.173828125,-3.90625,288.25,,,,,,1.2353515625,-3.404296875,100.0
14,WF1,2018-05-01 14:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1.15,-6.883,288.8,1.959,-5.094,288.2,1.22,-3.896,288.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.326,-3.895,86.25,1.633,-4.047,98.75,1.2197265625,-3.896484375,288.5,,,,,,1.6328125,-4.046875,98.75
15,WF1,2018-05-01 15:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.9575,-6.406,289.2,1.745,-3.8,289.0,0.818,-3.781,289.0,,,,,,,,,,,,-0.7227,-3.516,-0.394,-3.617,,,,3.684,0.8535,290.0,4.19,0.5615,290.0,3.822,-4.465,289.0,3.518,0.743,290.2,3.48,0.53,290.0,3.547,-0.421,289.0,4.414,0.4495,289.0,4.31,-0.619,289.0,3.04,0.678,289.0,1.125,-1.533,288.0,,,,,,,,,,,,,,,,0.9775,-4.06,93.9,1.241,-4.49,89.44,0.81787109375,-3.78125,289.0,-0.39404296875,-3.6171875,1.125,-1.533203125,288.0,1.2412109375,-4.48828125,89.4375
16,WF1,2018-05-01 16:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.8315,-5.984,289.5,2.576,-3.088,289.5,0.1873,-3.9,289.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9243,-3.855,85.75,0.2686,-4.812,78.0,0.187255859375,-3.900390625,289.25,,,,,,0.2685546875,-4.8125,78.0
17,WF1,2018-05-01 17:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1.348,-5.266,289.5,2.648,-3.707,289.5,-0.1963,-3.97,289.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.396,-3.967,71.4,0.484,-4.69,58.34,-0.1962890625,-3.970703125,289.5,,,,,,0.48388671875,-4.69140625,58.34375
18,WF1,2018-05-01 18:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2.541,-4.918,289.0,2.707,-4.805,288.8,0.0575,-4.543,289.0,1.216,-4.938,288.0,,,,,,,,,2.273,-4.086,-0.615,-1.194,,,,2.352,-5.195,289.0,2.684,-6.918,289.0,3.717,-6.27,289.0,1.733,-0.9043,289.0,2.844,-1.381,290.0,2.654,-0.7603,289.0,2.672,-1.698,289.0,2.865,-2.283,288.8,2.377,-2.377,289.0,-1.363,-1.606,287.0,-1.81,-2.928,287.0,,,,,,,,,,,,,1.505,-3.777,59.12,0.8115,-4.504,72.7,1.2158203125,-4.9375,288.0,-0.615234375,-1.1943359375,-1.8095703125,-2.927734375,287.0,0.8115234375,-4.50390625,72.6875
19,WF1,2018-05-01 19:00:00,,,,,,,,,,,,,,,,,,,,,,,,,3.758,-5.273,288.2,3.025,-6.63,288.0,1.152,-5.707,288.2,2.406,-6.18,287.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.014,-3.627,78.1,2.168,-3.744,97.25,2.40625,-6.1796875,287.25,,,,,,2.16796875,-3.744140625,97.25
20,WF1,2018-05-01 20:00:00,,,,,,,,,,,,,,,,,,,,,,,,,3.37,-6.04,287.5,2.752,-7.47,286.8,1.961,-6.89,287.5,3.023,-7.184,286.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.129,-3.979,10.27,1.977,-3.729,71.3,3.0234375,-7.18359375,286.5,,,,,,1.9765625,-3.728515625,71.3125
21,WF1,2018-05-01 21:00:00,,,,,,,,,,,,,,,,,,,,,,,,,2.371,-6.074,286.8,2.533,-7.043,286.0,1.481,-6.754,286.8,1.65,-6.77,285.8,,,,,,,,,2.062,-7.383,0.354,-4.227,,,,,,,2.936,-8.445,286.0,3.225,-8.2,287.0,-0.01656,-2.383,288.0,0.4211,-4.855,288.0,1.871,-3.682,288.0,1.417,-4.133,287.0,2.904,-4.605,287.0,0.8022,-4.176,287.0,0.3162,-3.914,286.0,1.273,-4.043,286.0,,,,,,,,,,,,,2.098,-3.504,68.6,1.581,-3.299,85.1,1.650390625,-6.76953125,285.75,0.35400390625,-4.2265625,1.2734375,-4.04296875,286.0,1.5810546875,-3.298828125,85.125
22,WF1,2018-05-01 22:00:00,,,,,,,,,,,,,,,,,,,,,,,,,1.446,-6.863,286.5,2.107,-7.234,285.2,0.7803,-6.57,286.2,1.038,-6.746,285.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.23,-3.783,20.34,1.855,-2.957,84.6,1.0380859375,-6.74609375,285.5,,,,,,1.85546875,-2.95703125,84.625
23,WF1,2018-05-01 23:00:00,,,,,,,,,,,,,,,,,,,,,,,,,0.6143,-7.38,286.2,2.156,-7.652,285.0,-0.1493,-6.402,285.8,0.894,-6.203,285.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.002,-3.734,2.84,1.979,-3.645,82.5,0.89404296875,-6.203125,285.25,,,,,,1.978515625,-3.64453125,82.5
24,WF1,2018-05-02 00:00:00,,,,,,,,,,,,,0.7266,-6.82,286.0,1.902,-7.023,284.8,-0.1148,-6.453,285.5,1.459,-5.79,285.0,2.342,-6.1,284.8,,,,,,,,,,,,,,2.996,-7.87,1.874,-7.26,2.613,-6.594,,,1.978,-5.64,286.0,2.172,-4.96,286.0,1.067,-5.64,286.0,1.946,-5.938,285.0,2.725,-5.855,285.0,1.343,-4.953,286.0,2.96,-6.316,285.0,2.85,-6.44,285.0,2.098,-7.56,284.0,,,,,,,,,,,,,,,,2.178,-4.066,2.201,2.04,-3.863,99.9,1.484,-4.113,92.1,,,,2.341796875,-6.1015625,284.75,2.61328125,-6.59375,2.09765625,-7.55859375,284.0,1.484375,-4.11328125,92.125
25,WF1,2018-05-02 01:00:00,,,,,,,,,,,,,1.615,-7.67,285.5,2.4,-7.586,284.5,0.492,-6.707,285.2,1.587,-6.19,284.8,1.954,-6.52,284.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.443,-4.32,59.75,2.271,-4.08,32.38,2.143,-4.14,100.0,,,,1.9541015625,-6.51953125,284.75,,,,,,2.142578125,-4.140625,100.0
26,WF1,2018-05-02 02:00:00,,,,,,,,,,,,,1.909,-8.15,285.5,2.107,-7.754,284.5,0.9,-6.61,285.2,1.814,-6.805,284.5,2.18,-7.094,284.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.691,-4.508,8.69,2.703,-3.887,63.8,2.502,-4.207,100.0,,,,2.1796875,-7.09375,284.75,,,,,,2.501953125,-4.20703125,100.0
27,WF1,2018-05-02 03:00:00,,,,,,,,,,,,,2.18,-8.23,285.5,1.643,-7.516,284.2,1.601,-7.44,285.0,2.318,-7.664,284.5,2.95,-7.59,284.5,,,,,,,,,,,,,,2.877,-8.734,2.969,-9.05,3.01,-7.246,,,2.273,-6.77,284.0,2.178,-5.848,284.2,2.518,-6.266,284.0,2.139,-6.117,283.8,3.03,-5.625,284.5,1.9,-5.273,285.0,3.275,-7.023,283.5,3.258,-6.29,283.5,3.043,-6.133,283.5,,,,,,,,,,,,,,,,2.348,-4.12,100.0,2.525,-3.588,82.25,2.523,-3.656,100.0,,,,2.94921875,-7.58984375,284.5,3.009765625,-7.24609375,3.04296875,-6.1328125,283.5,2.5234375,-3.65625,100.0
28,WF1,2018-05-02 04:00:00,,,,,,,,,,,,,2.361,-8.586,285.5,2.076,-7.934,284.0,2.1,-8.375,284.8,2.988,-8.57,284.5,3.523,-8.34,284.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.791,-4.215,70.06,2.953,-3.812,75.56,2.402,-3.42,100.0,,,,3.5234375,-8.34375,284.5,,,,,,2.40234375,-3.419921875,100.0
29,WF1,2018-05-02 05:00:00,,,,,,,,,,,,,2.045,-9.04,285.5,2.748,-8.29,284.2,1.995,-9.03,284.8,3.307,-8.66,284.5,3.404,-8.51,284.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.742,-4.492,88.1,2.854,-4.125,43.3,2.482,-3.477,40.6,,,,3.404296875,-8.5078125,284.5,,,,,,2.482421875,-3.4765625,40.59375
30,WF1,2018-05-02 06:00:00,,,,,,,,,,,,,2.357,-9.45,285.5,2.828,-8.59,284.5,1.813,-9.26,285.0,3.176,-8.96,284.5,3.113,-8.67,284.5,2.512,-6.754,284.0,,,,,,,,,,,4.254,-9.11,2.76,-8.75,2.988,-6.953,,,2.797,-7.82,284.0,2.742,-7.254,284.0,2.94,-7.117,283.0,2.5,-6.504,283.0,3.027,-6.766,284.0,2.59,-6.266,284.0,3.037,-7.375,283.0,3.037,-7.223,283.0,3.184,-6.945,283.0,1.965,-5.707,283.0,,,,,,,,,,,,,2.791,-4.59,100.0,2.752,-4.613,0.316,2.777,-3.531,91.4,,,,2.51171875,-6.75390625,284.0,2.98828125,-6.953125,1.96484375,-5.70703125,283.0,2.77734375,-3.53125,91.375
31,WF1,2018-05-02 07:00:00,,,,,,,,,,,,,2.674,-9.91,286.5,2.621,-9.125,285.5,1.857,-9.76,285.2,2.768,-9.195,285.0,2.553,-8.98,285.2,1.952,-7.54,284.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.223,-6.54,12.97,2.773,-6.453,5.617,2.426,-5.258,100.0,,,,1.9521484375,-7.5390625,284.75,,,,,,2.42578125,-5.2578125,100.0
32,WF1,2018-05-02 08:00:00,,,,,,,,,,,,,1.577,-9.77,287.5,2.395,-9.33,286.8,1.648,-9.45,286.0,2.594,-9.555,285.8,2.35,-8.8,286.0,1.773,-7.742,286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.777,-8.586,100.0,1.897,-7.836,99.6,1.409,-7.61,53.88,,,,1.7734375,-7.7421875,286.0,,,,,,1.4091796875,-7.609375,53.875
33,WF1,2018-05-02 09:00:00,,,,,,,,,,,,,1.316,-9.164,288.8,2.646,-9.43,288.2,1.222,-8.6,287.0,2.502,-9.69,286.8,1.949,-8.44,287.2,1.533,-7.484,287.2,,,,,,,,,,,3.121,-9.836,2.42,-8.055,2.838,-8.7,,,2.467,-7.59,287.0,2.91,-7.504,287.0,3.525,-7.48,286.0,3.44,-7.227,287.0,2.64,-6.895,286.2,2.736,-6.832,287.0,2.621,-7.402,286.0,2.672,-7.234,285.0,2.68,-6.62,286.0,2.195,-6.59,287.0,,,,,,,,,,,,,2.691,-9.26,8.18,1.643,-7.875,10.37,2.09,-8.14,99.56,,,,1.533203125,-7.484375,287.25,2.837890625,-8.703125,2.1953125,-6.58984375,287.0,2.08984375,-8.140625,99.5625
34,WF1,2018-05-02 10:00:00,,,,,,,,,,,,,1.641,-8.734,290.0,3.125,-9.53,289.5,1.728,-7.918,288.8,1.857,-9.695,287.8,2.209,-8.02,288.8,1.802,-7.41,288.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.746,-9.73,3.363,1.788,-7.938,100.0,2.166,-8.53,99.75,,,,1.8017578125,-7.41015625,288.75,,,,,,2.166015625,-8.53125,99.75
35,WF1,2018-05-02 11:00:00,,,,,,,,,,,,,2.422,-8.41,291.2,3.896,-9.336,290.8,1.673,-7.406,290.5,2.21,-9.42,289.2,2.857,-7.95,290.2,2.523,-7.145,290.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.227,-9.69,94.56,2.62,-7.957,50.84,2.525,-8.445,97.56,,,,2.5234375,-7.14453125,290.25,,,,,,2.525390625,-8.4453125,97.5625
36,WF1,2018-05-02 12:00:00,,,,,,,,,,,,,3.395,-8.445,292.0,4.445,-9.34,291.8,2.715,-7.65,291.8,2.834,-9.08,290.8,3.604,-7.96,291.2,3.402,-7.246,291.2,2.32,-6.016,291.2,,,,,,,,2.412,-9.625,2.965,-8.305,3.393,-9.055,2.92,-6.254,3.404,-7.383,291.0,3.549,-7.305,290.0,3.973,-7.37,290.0,4.043,-7.35,290.0,3.467,-7.13,290.0,3.438,-7.04,290.0,3.01,-6.39,290.0,2.426,-6.01,289.0,3.896,-6.33,290.0,3.271,-6.734,291.0,2.273,-5.48,290.0,,,,,,,,,,3.67,-9.83,56.75,2.838,-7.99,94.3,3.5,-8.484,51.72,2.357,-7.91,10.48,2.3203125,-6.015625,291.25,2.919921875,-6.25390625,2.2734375,-5.48046875,290.0,2.357421875,-7.91015625,10.4765625
37,WF1,2018-05-02 13:00:00,,,,,,,,,,,,,3.828,-8.54,292.8,4.72,-9.664,292.8,3.656,-8.27,292.5,3.248,-8.7,291.8,4.33,-8.22,292.0,4.06,-7.52,292.0,3.217,-6.074,291.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.945,-9.6,99.2,3.104,-8.05,82.8,3.732,-8.62,100.0,2.354,-8.055,73.9,3.216796875,-6.07421875,291.75,,,,,,2.353515625,-8.0546875,73.875
38,WF1,2018-05-02 14:00:00,,,,,,,,,,,,,4.12,-9.1,293.2,4.45,-10.14,293.2,4.164,-9.08,293.0,3.543,-8.42,292.2,4.312,-8.664,292.8,4.21,-7.98,292.8,3.775,-6.906,292.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.652,-9.375,99.56,2.965,-8.484,1.018,4.168,-9.0,71.3,2.596,-8.17,97.75,3.775390625,-6.90625,292.25,,,,,,2.595703125,-8.171875,97.75
39,WF1,2018-05-02 15:00:00,,,,,,,,,,,,,3.986,-9.98,293.5,4.27,-10.78,293.5,4.168,-10.04,293.2,4.035,-9.195,292.5,4.23,-9.836,293.0,3.967,-8.36,293.2,3.697,-7.695,292.5,,,,,,,,1.739,-7.527,1.942,-9.61,2.87,-10.17,2.41,-8.05,,,,4.32,-7.895,292.0,4.69,-7.695,292.0,4.832,-7.457,292.0,4.746,-8.77,292.0,4.81,-7.918,293.0,4.58,-8.19,292.0,5.195,-7.12,292.0,4.91,-7.38,292.0,5.062,-7.098,292.0,4.676,-6.207,292.0,,,,,,,,,,4.074,-9.26,75.25,3.227,-8.75,100.0,3.713,-8.79,99.56,2.111,-7.957,93.5,3.697265625,-7.6953125,292.5,2.41015625,-8.046875,4.67578125,-6.20703125,292.0,2.111328125,-7.95703125,93.5
40,WF1,2018-05-02 16:00:00,,,,,,,,,,,,,4.08,-10.87,293.5,4.336,-11.55,293.5,4.426,-10.71,293.2,4.277,-10.54,292.2,4.16,-11.01,293.0,4.074,-8.05,293.2,4.02,-8.01,292.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.953,-8.76,100.0,3.297,-8.55,100.0,3.092,-8.91,67.56,2.152,-7.81,99.9,4.01953125,-8.0078125,292.75,,,,,,2.15234375,-7.80859375,99.875
